"Name","G","PA","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","TB","GDP","HBP","SH","SF","IBB","Age","Allstar_batter"
"Kevin Kiermaier",63,221,206,28,47,8,0,7,22,6,1,14,61,76,2,1,0,0,0,32,"0"
"Kevin Newman",78,309,288,31,79,18,2,2,24,8,2,16,48,107,6,2,2,1,0,28,"0"
"Kevin Padlo",33,91,89,0,10,2,0,0,6,0,0,2,25,12,6,0,0,0,0,25,"0"
"Kevin Pillar",4,13,12,1,1,1,0,0,0,0,0,1,4,2,1,0,0,0,0,33,"0"
"Kevin Plawecki",126,372,336,30,74,16,0,2,26,0,0,28,64,96,12,4,2,2,0,31,"0"
"Kevin Smith",47,151,139,9,25,9,1,2,13,4,0,7,42,42,5,0,3,2,0,25,"0"
"Keynan Middleton",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,"0"
"Khalil Lee",2,2,2,1,1,0,0,1,3,0,0,0,0,4,0,0,0,0,0,24,"0"
"Kody Clemens",56,127,117,13,17,4,0,5,17,1,0,8,33,36,1,0,0,2,0,26,"0"
"Kole Calhoun",125,424,388,36,76,14,1,12,49,3,2,27,136,128,6,6,0,3,0,34,"0"
"Kolten Wong",134,497,430,65,108,24,4,15,47,17,6,46,88,185,5,14,2,5,2,31,"0"
"Korey Lee",12,26,25,1,4,2,0,0,4,0,0,1,9,6,1,0,0,0,0,23,"0"
"Kramer Robertson",2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,27,"0"
"Kris Bryant",42,181,160,28,49,12,0,5,14,0,0,17,27,76,7,2,0,2,0,30,"0"
"Kurt Suzuki",51,159,139,10,25,4,0,4,15,0,0,15,29,41,3,2,1,2,0,38,"0"
"Kyle Farmer",145,583,526,58,134,25,1,14,78,4,3,33,99,203,20,16,2,6,0,31,"0"
"Kyle Garlick",66,162,150,23,35,3,0,9,18,0,0,8,48,65,2,3,0,1,0,30,"0"
"Kyle Higashioka",83,248,229,27,52,7,0,10,31,0,1,12,52,89,5,1,2,4,0,32,"0"
"Kyle Isbel",106,278,256,32,54,10,4,5,28,9,6,16,75,87,5,3,1,2,0,25,"0"
"Kyle Lewis",18,62,56,6,8,0,0,3,5,0,0,5,19,17,2,1,0,0,0,26,"0"
"Kyle Nelson",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,"0"
"Kyle Schwarber",155,669,577,100,126,21,3,46,94,10,1,86,200,291,10,4,0,2,3,29,"0"
"Kyle Stowers",34,98,91,11,23,4,1,3,11,0,0,5,29,38,3,2,0,0,0,24,"0"
"Kyle Tucker",150,609,544,71,140,28,1,30,107,25,4,59,95,260,11,1,0,2,4,25,"1"
"LaMonte Wade Jr",77,251,217,29,45,7,1,8,26,1,0,26,51,78,0,5,2,1,0,28,"0"
"Lane Thomas",146,548,498,62,120,26,2,17,52,8,4,41,132,201,8,4,0,5,0,26,"0"
"Lars Nootbaar",108,347,290,53,66,16,3,14,40,4,1,51,71,130,3,1,0,5,1,24,"0"
"Lenyn Sosa",11,36,35,3,4,1,0,1,1,0,0,1,12,8,2,0,0,0,0,22,"0"
"Leody Taveras",99,341,314,39,82,14,2,5,34,11,5,21,88,115,2,2,1,3,0,23,"0"
"Leury Garcia",97,315,300,38,63,8,0,3,20,2,0,7,65,80,6,3,2,3,0,31,"0"
"Lewin D az",58,174,160,12,27,4,0,5,11,1,0,11,54,46,3,1,0,2,0,25,"0"
"Lewis Brinson",16,39,36,5,6,2,0,3,4,1,0,2,14,17,0,0,1,0,0,28,"0"
"Liam Hendriks",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,"0"
"Liover Peguero",1,4,3,0,1,0,0,0,0,0,0,1,2,1,0,0,0,0,0,21,"0"
"Livan Soto",18,59,55,9,22,5,1,1,9,1,1,2,13,32,1,0,1,1,0,22,"0"
"Logan O Hoppe",5,16,14,1,4,0,0,0,2,0,0,2,3,4,0,0,0,0,0,22,"0"
"Lorenzo Cain",43,156,145,17,26,5,0,1,9,2,2,8,36,34,4,2,0,1,0,36,"0"
"Lourdes Gurriel Jr",121,493,453,52,132,32,1,5,52,3,4,31,83,181,11,6,0,2,1,28,"1"
"Lucas Gilbreath",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,"0"
"Lucius Fox",10,28,25,2,2,0,0,0,2,1,0,1,9,2,1,0,2,0,0,24,"0"
"Luis Arraez",144,603,547,88,173,31,1,8,49,4,4,50,43,230,6,3,0,3,2,25,"1"
"Luis Barrera",32,85,77,3,18,5,0,1,7,3,0,6,17,26,2,1,0,1,0,26,"0"
"Luis Campusano",16,50,48,4,12,1,0,1,5,0,0,1,11,16,2,0,0,1,0,23,"0"
"Luis Garc a",93,377,360,29,99,23,2,7,45,3,4,11,84,147,6,1,1,4,1,22,"0"
"Luis Gonz lez",98,350,311,31,79,17,2,4,36,10,2,30,75,112,5,4,0,5,1,26,"0"
"Luis Guillorme",102,335,297,33,81,12,1,2,17,1,0,34,46,101,15,2,2,0,1,27,"0"
"Luis Liberato",7,5,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,26,"0"
"Luis Rengifo",127,511,489,45,129,22,4,17,52,6,2,17,79,210,11,4,1,0,0,25,"0"
"Luis Robert Jr",98,401,380,54,108,18,0,12,56,11,3,17,77,162,6,3,0,1,1,24,"1"
"Luis Torrens",55,166,151,13,34,2,0,3,15,0,0,12,50,45,5,1,0,2,0,26,"0"
"Luis Ur as",119,472,406,54,97,17,1,16,47,1,2,50,99,164,9,11,0,5,0,25,"0"
"Luke Maile",76,206,181,19,40,10,0,3,17,0,0,19,54,59,6,3,0,3,0,31,"0"
"Luke Raley",22,72,61,7,12,2,0,1,4,0,0,7,24,17,1,3,0,1,0,27,"0"
"Luke Voit",270,1136,1000,110,226,44,0,44,138,2,2,110,358,402,18,14,0,12,2,31,"0"
"Luke Weaver",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,"0"
"Luke Williams",158,272,254,42,60,10,2,2,12,22,8,18,88,80,2,0,0,0,2,25,"0"
"MJ Melendez",129,534,460,57,100,21,3,18,62,2,3,66,131,181,2,1,0,7,1,23,"0"
"Magneuris Sierra",45,96,91,7,15,1,3,0,5,6,1,4,25,22,0,0,1,0,0,26,"0"
"Maikel Franco",103,388,371,31,85,15,0,9,39,1,0,12,75,127,18,2,0,3,0,29,"0"
"Maikel Garcia",9,23,22,1,7,1,0,0,2,0,0,1,5,8,1,0,0,0,0,22,"0"
"Manny Machado",150,644,578,100,172,37,1,32,102,9,1,63,133,307,12,1,0,2,10,29,"0"
"Manny Pi a",5,17,14,1,2,0,0,0,2,0,0,1,1,2,0,1,0,1,0,35,"0"
"Manuel Margot",89,363,336,36,92,18,2,4,47,7,3,24,68,126,7,2,0,1,1,27,"0"
"Marcell Ozuna",124,507,470,56,106,19,0,23,56,2,1,31,122,194,12,2,0,4,0,31,"0"
"Marcus Semien",161,724,657,101,163,31,5,26,83,25,8,53,120,282,7,4,0,10,0,31,"1"
"Marcus Wilson",3,6,5,1,1,0,0,0,0,0,0,1,4,1,0,0,0,0,0,25,"0"
"Mario Feliciano",2,5,4,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,23,"0"
"Mark Appel",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,"0"
"Mark Canha",140,542,462,71,123,24,0,13,61,3,1,48,97,186,3,28,0,4,1,33,"0"
"Mark Contreras",28,61,58,9,7,1,0,3,6,1,0,1,21,17,2,1,0,1,0,27,"0"
"Mark Kolozsvary",10,21,20,3,4,2,0,1,3,0,0,1,9,9,1,0,0,0,0,26,"0"
"Mark Mathias",60,182,162,26,40,6,0,12,40,6,0,18,60,82,0,0,0,2,0,27,"0"
"Mark Melancon",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,"0"
"Mark Payton",8,25,21,3,3,0,0,0,1,0,0,4,4,3,0,0,0,0,0,30,"0"
"Mark Vientos",16,41,36,3,6,1,0,1,3,0,0,5,12,10,1,0,0,0,0,22,"0"
"Mart n Maldonado",113,379,344,40,64,12,0,15,45,0,0,22,116,121,6,7,4,2,0,35,"0"
"Marwin Gonzalez",85,207,184,20,34,7,0,6,18,3,0,14,54,59,8,4,3,2,0,33,"0"
"Matt Beaty",20,47,43,6,4,1,1,0,1,0,0,2,8,7,3,2,0,0,0,29,"0"
"Matt Brash",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,"0"
"Matt Carpenter",47,154,128,28,39,9,0,15,37,0,0,19,35,93,2,5,1,1,1,36,"0"
"Matt Chapman",155,621,538,83,123,27,1,27,76,2,2,68,170,233,7,10,0,5,1,29,"0"
"Matt Davidson",26,74,68,6,10,0,0,4,6,0,2,6,26,22,0,0,0,0,0,31,"0"
"Matt Duffy",77,247,228,14,57,8,0,2,16,0,0,17,50,71,6,2,0,0,0,31,"0"
"Matt Foster",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,"0"
"Matt Olson",162,699,616,86,148,44,0,34,103,0,0,75,170,294,13,4,0,4,6,28,"1"
"Matt Reynolds",186,544,488,62,120,20,2,6,46,10,0,52,156,162,14,2,0,2,0,31,"0"
"Matt Thaiss",29,81,69,9,15,1,0,2,8,1,0,11,24,22,2,0,0,1,1,27,"0"
"Matt Vierling",117,357,325,41,80,12,2,6,32,7,4,23,70,114,7,3,0,6,0,25,"0"
"Matt Wallner",18,65,57,4,13,3,0,2,10,1,0,6,25,22,0,2,0,0,1,24,"0"
"Matthew Batten",15,22,19,0,2,1,0,0,1,0,0,2,6,3,0,1,0,0,0,27,"0"
